StreetA,OddA1,OddA2,EvA1,EvA2,WardA,SubwardA,StreetB,OddbB,OddB2,EvB1,EvB2,WardB,SubwardB
PLANTAIN WAY,,,2,4.0,25.0,1.0,PONY FARM DR,5.0,99.0,2.0,82,2.0,25.0
PLASTICS AVE,7.0,11,10,24.0,3.0,33.0,PONYMEADOW TER,1.0,119.0,2.0,52X,25.0,42.0
PLATEAU CRES,21.0,117,2,116.0,16.0,31.0,PONYMEADOW TER,123.0,223.0,208.0,234,25.0,41.0
PLATINUM DR,1.0,47,8,62.0,5.0,28.0,PONYMILL DR,1.0,47.0,4.0,68,23.0,15.0
STREET NAME                   ODD               EVEN             WD SUB        STREET NAME                   ODD               EVEN             WD SUB,,,,,,,,,,,,,
POOL PL,,,6.0,8.0,15.0,15.0,POWER ST,1.0,93,26,94.0,13.0,80.0
POPLAR AVE,3.0,65,4.0,64.0,3.0,23.0,POWERHOUSE ST,3.0,33,30,32.0,9.0,16.0
POPLAR HEIGHTS DR,3.0,119,2.0,138.0,2.0,33.0,POYNTER DR,1.0,115,2,94.0,2.0,6.0
POPLAR PLAINS CRES,,,4.0,84.0,12.0,64.0,POYNTZ AVE,15.0,157,,,18.0,84.0
POPLAR PLAINS CRES,11.0,81,,,12.0,69.0,POYNTZ AVE,,,22,22.0,18.0,70.0
POPLAR PLAINS RD,1.0,53,34.0,58.0,12.0,69.0,POYNTZ AVE,,,36,156.0,18.0,84.0
POPLAR PLAINS RD,57.0,273,96.0,272.0,12.0,64.0,POYNTZ AVE,169.0,307,172,308.0,18.0,85.0
POPLAR RD,5.0,63,4.0,66.0,24.0,41.0,PRADO CRT,,,4,32.0,8.0,47.0
POPLAR RD,79.0,235,86.0,126.0,24.0,40.0,PRAIRIE DR,69.0,95,70,100.0,20.0,56.0
POPLAR RD,,,128.0,200.0,24.0,39.0,PRAIRIE DR,103.0,129,110,130.0,20.0,48.0
POPPY PL,3.0,35,,,25.0,1.0,PRATTLEY DR,1.0,39,,,17.0,42.0
PORCELAIN TER,1.0,15,6.0,18.0,23.0,7.0,PRATTLEY DR,,,8,34.0,17.0,40.0
PORCHESTER DR,5.0,147,2.0,142.0,24.0,46.0,PREAKNESS DR,1.0,41,2,42.0,16.0,23.0
PORT ROYAL TRL,1.0,101,2.0,76.0,23.0,2.0,PRECISION RD,1.0,37,100,100.0,1.0,35.0
PORT ROYAL TRL,107.0,287,96.0,240.0,23.0,3.0,PRENNAN AVE,1.0,113,2,114.0,2.0,64.0
PORT ROYAL TRL,,,250.0,282.0,23.0,2.0,PRENTICE CRT,1.0,7,2,6.0,2.0,20.0
PORT ROYAL TRL,297.0,461,290.0,450.0,23.0,1.0,PRESCOTT AVE,3.0,109,20,108.0,9.0,14.0
PORT UNION RD,19.0,79R,,,25.0,31.0,PRESCOTT AVE,117.0,269,138,272.0,9.0,13.0
PORT UNION RD,,,20.0,104.0,25.0,32.0,PRESIDENTS CRT,1.0,17,2,16.0,23.0,14.0
PORT UNION RD,215.0,303,,,25.0,30.0,PRESLEY AVE,1.0,91,18,92.0,20.0,49.0
PORT UNION RD,305.0,447,940.0,952.0,25.0,28.0,PRESLEY AVE,93.0,149,114,148.0,20.0,2.0
PORTAGE AVE,9.0,65,16.0,64.0,5.0,3.0,PRESTBURY ST,1.0,51,6,48.0,16.0,34.0
PORTAGE AVE,79.0,105,74.0,100.0,5.0,2.0,PRESTEIGN AVE,19.0,71,2,66.0,19.0,1.0
PORTER AVE,9.0,25,8.0,24.0,5.0,66.0,PRESTON PL,1.0,31,,,15.0,18.0
PORTER CRES,35.0,43,2.0,40.0,21.0,34.0,PRESTON PL,,,2,20.0,15.0,19.0
PORTERFIELD RD,1.0,73,,,1.0,36.0,PRESTON RD,7.0,19,,,9.0,2.0
PORTERFIELD RD,,,2.0,4.0,1.0,37.0,PRESTON RD,,,8X,38.0,9.0,1.0
PORTERFIELD RD,,,36.0,74.0,1.0,36.0,PRESTON ST,31.0,141,10,130.0,20.0,41.0
PORTERFIELD RD,77.0,105,78.0,110.0,1.0,35.0,PRESTWICK CRES,11.0,35,2,46.0,17.0,12.0
PORTHCLAIR CRT,1.0,21,2.0,20.0,25.0,26.0,PRETORIA AVE,1.0,31A,2,26.0,14.0,14.0
PORTIA ST,7.0,7,4.0,36.0,24.0,41.0,PRICE ST,9.0,45,4,44.0,11.0,24.0
PORTICO DR,3.0,113,2.0,114.0,24.0,9.0,PRICEFIELD RD,15.0,27,50,124.0,11.0,24.0
PORTLAND ST,,,2.0,68.0,10.0,52.0,PRIDE CRT,3.0,9,2,8.0,2.0,6.0
PORTLAND ST,25.0,151,20.0,152.0,3.0,39.0,PRIDHAM PL,,,2,4.0,10.0,2.0
PORTLAND ST,31.0,87,,,10.0,52.0,PRIMROSE AVE,1.0,61,,,3.0,64.0
PORTLAND ST,101.0,163,86.0,156.0,10.0,38.0,PRIMROSE AVE,,,2,120.0,9.0,11.0
PORTNEUF CRT,5.0,45,6.0,36.0,10.0,90.0,PRIMROSE AVE,,,8,56.0,3.0,64.0
PORTRUSH CRES,7.0,41,2.0,16.0,25.0,41.0,PRIMROSE AVE,21.0,111,,,9.0,11.0
PORTSDOWN RD,1.0,93,4.0,78.0,21.0,32.0,PRIMULA CRES,1.0,93,4,34.0,7.0,2.0
PORTSDOWN RD,107.0,121,88.0,130.0,21.0,23.0,PRIMULA CRES,,,40,110.0,7.0,1.0
PORTSMITH RD,3.0,17,6.0,8.0,15.0,6.0,PRINCE ANDREW PL,1.0,37,4,68.0,16.0,29.0
PORTSMOUTH DR,1.0,91,2.0,86.0,25.0,32.0,PRINCE ARTHUR AVE,5.0,95,2,94.0,11.0,11.0
PORTUGAL SQ,9.0,11,10.0,20.0,10.0,43.0,PRINCE CHARLES DR,1.0,85,2,86.0,8.0,30.0
PORTWINE DR,9.0,101,4.0,102.0,25.0,30.0,PRINCE EDWARD DR N,339.0,417,342,448.0,3.0,3.0
POST RD,1.0,83,28.0,62.0,15.0,12.0,PRINCE EDWARD DR N,449.0,571,460,564.0,3.0,1.0
POST RD,91.0,105,88.0,102.0,15.0,13.0,PRINCE EDWARD DR S,69.0,239,84,184.0,3.0,29.0
POSTHORN GRV,3.0,27,,,23.0,29.0,PRINCE EDWARD DR S,,,188,278.0,3.0,25.0
POTE AVE,1.0,9,8.0,10.0,15.0,19.0,PRINCE EDWARD DR S,,,290,324.0,3.0,5.0
POTSDAM RD,21.0,47,40.0,48.0,7.0,17.0,PRINCE EDWARD,,,50,60.0,10.0,8.0
POTTERY RD,67.0,165,50.0,50.0,14.0,12.0,ISLAND CRES,,,,,,
POTTERY RD,,,170.0,170.0,14.0,1.0,PRINCE GEORGE DR,1.0,79,2,82.0,2.0,32.0
POTTERY RD,,,200.0,200.0,15.0,53.0,PRINCE GEORGE DR,81.0,135,84,136.0,2.0,31.0
POUCHER ST,11.0,49,8.0,52.0,14.0,37.0,PRINCE HAL CRES,1.0,1,2,6.0,22.0,40.0
POULETT ST,21.0,59,22.0,90.0,13.0,62.0,PRINCE PHILIP BLVD,1.0,73,,,24.0,51.0
POWBURN PL,1.0,33,2.0,20.0,2.0,2.0,PRINCE PHILIP BLVD,,,4,30.0,24.0,53.0
POWDERHORN MILLWAY,5.0,15,2.0,14.0,15.0,6.0,PRINCE PHILIP BLVD,,,40,72.0,24.0,51.0
POWELL AVE,5.0,15,8.0,10.0,11.0,30.0,PRINCE RUPERT AVE,7.0,43,4,42.0,4.0,18.0
POWELL RD,49.0,101,50.0,100.0,6.0,38.0,PRINCE WILLIAM CRT,1.0,81,,,23.0,45.0
STREET NAME                   ODD               EVEN             WD SUB        STREET NAME                   ODD               EVEN             WD SUB,,,,,,,,,,,,,
PRINCEMERE CRES,3,69.0,4.0,34.0,21.0,25.0,PUMA DR,3.0,117.0,50.0,96.0,22.0,29.0
PRINCES' BLVD,105,195.0,100.0,210.0,10.0,8.0,PUMFREY CRES,1.0,41.0,4.0,12.0,1.0,2.0
PRINCESS ANNE CRES,1,147.0,2.0,104.0,2.0,32.0,PURBROOK CRT,5.0,33.0,,,6.0,13.0
PRINCESS ANNE CRES,151,189.0,110.0,166.0,2.0,33.0,PURCELL SQ,1.0,147.0,8.0,66.0,22.0,12.0
PRINCESS AVE,45,191.0,54.0,190.0,18.0,51.0,PURCELL SQ,,,120.0,154.0,22.0,4.0
PRINCESS AVE,229,399.0,230.0,400.0,18.0,49.0,PURCHASE PL,1.0,21.0,2.0,24.0,6.0,50.0
PRINCESS MARGARET,,,6.0,28.0,2.0,33.0,PURDON DR,,,2.0,16.0,6.0,20.0
BLVD,,,,,,,PURDON DR,5.0,79.0,22.0,90.0,6.0,19.0
PRINCESS MARGARET,17,83.0,32.0,80.0,2.0,32.0,PURDY CRES,1.0,55.0,2.0,34.0,5.0,3.0
BLVD,,,,,,,PURLEY CRES,3.0,45.0,4.0,42.0,20.0,28.0
PRINCESS MARGARET,87,191.0,82.0,188.0,2.0,31.0,PURLING PL,1.0,15.0,,,15.0,13.0
BLVD,,,,,,,PURPLE SAGEWAY,7.0,51.0,2.0,122.0,17.0,6.0
PRINCESS OF WALES,1,11.0,2.0,14.0,2.0,30.0,PURPLEDUSK TRL,1.0,155.0,2.0,146.0,24.0,11.0
CRT,,,,,,,PURVIS CRES,3.0,143.0,2.0,162.0,23.0,43.0
PRINCESS ST,,,2.0,52.0,10.0,91.0,PUTNEY RD,1.0,29.0,2.0,28.0,3.0,85.0
PRINCESS ST,5,19.0,,,10.0,90.0,PYLON PL,3.0,23.0,2.0,22.0,1.0,51.0
PRINCESS ST,31,33.0,60.0,70.0,13.0,88.0,PYNFORD CRES,1.0,83.0,4.0,84.0,16.0,11.0
PRINCESS ST,157,157.0,138.0,174.0,13.0,79.0,PYTHAGORAS DR,5.0,41.0,6.0,32.0,25.0,39.0
PRINCETON RD,1,67.0,4.0,76.0,3.0,6.0,QUANTRELL TRL,1.0,177.0,32.0,166.0,25.0,15.0
PRINCEWAY DR,3,77.0,2.0,78.0,21.0,26.0,QUARRY CRT,1.0,23.0,2.0,24.0,14.0,27.0
PRINCIPAL RD,21,21.0,2.0,20.0,21.0,24.0,QUEBEC AVE,3.0,65.0,,,4.0,19.0
PRINGDALE GARDENS,25,129.0,2.0,82.0,21.0,61.0,QUEBEC AVE,,,20.0,76.0,4.0,36.0
CRCL,,,,,,,QUEBEC AVE,77.0,77.0,,,4.0,34.0
PRISCILLA AVE,1,51.0,2.0,54.0,4.0,6.0,QUEBEC AVE,,,80.0,122.0,4.0,35.0
PRISCILLA AVE,65,169.0,68.0,166.0,4.0,5.0,QUEBEC AVE,105.0,129.0,,,4.0,19.0
PRITCHARD AVE,1,83.0,,,5.0,59.0,QUEBEC AVE,,,138.0,144.0,4.0,36.0
PRITCHARD AVE,,,2.0,128.0,5.0,60.0,QUEBEC AVE,159.0,349.0,148.0,366.0,4.0,9.0
PRITCHARD AVE,87,107.0,130.0,154.0,5.0,58.0,QUEBEC AVE,379.0,543.0,368.0,546.0,4.0,10.0
PRIVET RD,9,33.0,2.0,30.0,6.0,44.0,QUEBEC ST,,,80.0,90.0,10.0,8.0
PROCTOR CRES,1,7.0,2.0,2.0,15.0,17.0,QUEEN ANNE RD,17.0,57.0,6.0,104.0,3.0,1.0
PRODUCTION DR,,,20.0,128.0,24.0,6.0,QUEEN ANNE RD,81.0,105.0,,,3.0,3.0
PROGRESS AVE,7,45.0,8.0,60.0,21.0,8.0,QUEEN ELIZABETH BLVD,7.0,7.0,2.0,38.0,3.0,36.0
PROGRESS AVE,55,111.0,80.0,110.0,21.0,39.0,QUEEN ELIZABETH BLVD,83.0,87.0,50.0,86.0,3.0,33.0
PROGRESS AVE,275,333.0,258.0,580.0,21.0,14.0,QUEEN MAGDALENE PL,1.0,37.0,2.0,38.0,17.0,12.0
PROGRESS AVE,675,905.0,670.0,900.0,24.0,6.0,QUEEN MARYS DR,3.0,65.0,4.0,58.0,3.0,3.0
PROGRESS AVE,921,941.0,920.0,940.0,24.0,9.0,QUEEN MARYS DR,,,60.0,64.0,3.0,1.0
PROGRESS AVE,999,1081.0,1070.0,1088.0,23.0,43.0,QUEEN ST E,1.0,79.0,2.0,120.0,13.0,72.0
PROSPECT ST,15,39.0,2.0,38.0,13.0,30.0,QUEEN ST E,85.0,141.0,,,13.0,75.0
PROSPERITY PTWY,1,89.0,2.0,86.0,25.0,8.0,QUEEN ST E,,,130.0,254.0,13.0,70.0
PROTEA GDNS,1,49.0,2.0,50.0,17.0,70.0,QUEEN ST E,145.0,147.0,,,13.0,76.0
PROUD GRV,,,4.0,20.0,23.0,40.0,QUEEN ST E,163.0,285.0,,,13.0,70.0
PROUDBANK MILLWAY,1,39.0,6.0,44.0,15.0,6.0,QUEEN ST E,287.0,345.0,,,13.0,79.0
PROVENCE TRL,1,55.0,2.0,78.0,1.0,1.0,QUEEN ST E,,,310.0,384.0,13.0,63.0
PROVIDENCE ST,3X,17.0,4.0,16.0,21.0,62.0,QUEEN ST E,351.0,555.0,388.0,500.0,13.0,80.0
PROVINCETOWN RD,1,63.0,2.0,76.0,25.0,31.0,QUEEN ST E,,,502.0,578.0,13.0,66.0
PROVOST DR,15,15.0,,,17.0,73.0,QUEEN ST E,579.0,579.0,,,13.0,81.0
PROVOST DR,,,36.0,38.0,17.0,68.0,QUEEN ST E,,,600.0,812.0,14.0,52.0
PROVOST DR,,,50.0,50.0,17.0,73.0,QUEEN ST E,621.0,887.0,870.0,970.0,14.0,51.0
PROVOST DR,55,79.0,,,17.0,67.0,QUEEN ST E,889.0,1081.0,972.0,1046.0,14.0,50.0
PRUDENTIAL DR,1,51.0,100.0,300.0,21.0,33.0,QUEEN ST E,,,1054.0,1134.0,14.0,49.0
PRUDENTIAL DR,101,101.0,,,21.0,36.0,QUEEN ST E,1091.0,1189.0,1140.0,1158.0,14.0,48.0
PRUDENTIAL DR,151,301.0,,,21.0,33.0,QUEEN ST E,,,1160.0,1220.0,14.0,45.0
PRUE AVE,29X,99.0,10.0,102.0,8.0,46.0,QUEEN ST E,1195.0,1201.0,,,14.0,47.0
PRUST AVE,1,33.0,2.0,98.0,14.0,39.0,QUEEN ST E,1209.0,1227.0,,,14.0,48.0
PRYOR AVE,9,29.0,6.0,30.0,9.0,13.0,QUEEN ST E,,,1226.0,1236.0,14.0,44.0
PTARMIGAN CRES,,,2.0,30.0,16.0,11.0,QUEEN ST E,1233.0,1617.0,,,14.0,43.0
PUCKERIDGE CRES,1,27.0,4.0,36.0,2.0,31.0,QUEEN ST E,,,1238.0,1238.0,14.0,46.0
PULLMAN CRT,3,41.0,20.0,40.0,23.0,35.0,QUEEN ST E,,,1240.0,1370.0,14.0,44.0
STREET NAME                   ODD               EVEN             WD SUB        STREET NAME                   ODD               EVEN             WD SUB,,,,,,,,,,,,,
QUEEN ST E,,,1372,1612,14.0,43.0,QUEENS AVE,41.0,71.0,6.0,90,3.0,65.0
QUEEN ST E,1619.0,1809,1614,1836,19.0,52.0,QUEENS AVE,121.0,151.0,120.0,158,3.0,64.0
QUEEN ST E,1813.0,2169,1842,1928,19.0,56.0,QUEENS AVE,153.0,173.0,166.0,214,3.0,63.0
QUEEN ST E,,,1930,1958,19.0,55.0,QUEENS QUAY E,3.0,39.0,,,10.0,83.0
QUEEN ST E,,,1960,2018,19.0,57.0,QUEENS QUAY E,95.0,263.0,100.0,200,10.0,90.0
QUEEN ST E,,,2020,2072,19.0,59.0,QUEENS QUAY W,1.0,83.0,,,10.0,67.0
QUEEN ST E,,,2074,2148,19.0,58.0,QUEENS QUAY W,,,8.0,12,10.0,84.0
QUEEN ST E,,,2150,2256,19.0,62.0,QUEENS QUAY W,,,82.0,270,10.0,67.0
QUEEN ST E,2171.0,2339A,,,19.0,58.0,QUEENS QUAY W,89.0,93.0,,,10.0,80.0
QUEEN ST E,2341.0,2505,2258,2396,19.0,63.0,QUEENS QUAY W,97.0,259.0,,,10.0,67.0
QUEEN ST E,2701.0,3029B,2400,3012,20.0,66.0,QUEENS QUAY W,265.0,679.0,318.0,330X,10.0,59.0
QUEEN ST W,1.0,1,2,60,13.0,72.0,QUEENS QUAY W,,,350.0,400X,10.0,66.0
QUEEN ST W,55.0,299,,,10.0,27.0,QUEENS QUAY W,,,410.0,700,10.0,59.0
QUEEN ST W,,,100,250,10.0,20.0,QUEENS WHARF RD,75.0,161.0,56.0,180,10.0,52.0
QUEEN ST W,,,252,378,10.0,18.0,QUEENSBOROUGH,3.0,41.0,4.0,20,2.0,21.0
QUEEN ST W,307.0,441,,,10.0,28.0,CRES,,,,,,
QUEEN ST W,,,382,406,10.0,17.0,QUEENSBURY AVE,,,2.0,130,20.0,63.0
QUEEN ST W,,,408,484,10.0,16.0,QUEENSBURY AVE,3.0,135.0,,,20.0,62.0
QUEEN ST W,443.0,651,,,10.0,38.0,QUEENSCOURT DR,3.0,45.0,4.0,50,22.0,52.0
QUEEN ST W,,,486,586,10.0,14.0,QUEENSDALE AVE,3.0,177.0,2.0,166,14.0,53.0
QUEEN ST W,,,588,588,10.0,15.0,QUEENSDALE AVE,,,168.0,266,19.0,19.0
QUEEN ST W,,,592,614,10.0,14.0,QUEENSDALE AVE,179.0,275.0,,,19.0,21.0
QUEEN ST W,,,616,780,10.0,13.0,QUEENSDALE AVE,277.0,349.0,268.0,344,19.0,24.0
QUEEN ST W,655.0,837,,,10.0,43.0,QUEENSGROVE RD,5.0,31.0,2.0,34,20.0,61.0
QUEEN ST W,,,790,1000,10.0,2.0,QUEENSLAND CRT,1.0,17.0,4.0,16,2.0,48.0
QUEEN ST W,839.0,931,,,10.0,12.0,QUEENSLEA AVE,5.0,255.0,144.0,244,5.0,3.0
QUEEN ST W,935.0,993,,,10.0,2.0,QUEENSWAY LIONS CRT,1.0,3.0,,,3.0,33.0
QUEEN ST W,999.0,1001,,,10.0,4.0,QUIETBROOK CRES,3.0,99.0,4.0,100,23.0,17.0
QUEEN ST W,1033.0,1033,1006,1090,10.0,1.0,QUILTER RD,,,8.0,8,18.0,87.0
QUEEN ST W,1051.0,1071,,,10.0,4.0,QUINAN DR,1.0,49.0,8.0,50,5.0,9.0
QUEEN ST W,1075.0,1089,,,10.0,2.0,QUINBY CRT,3.0,15.0,2.0,16,1.0,15.0
QUEEN ST W,1093.0,1153,1092,1230,9.0,47.0,QUINCE APPLEWAY,7.0,21.0,6.0,20,16.0,18.0
QUEEN ST W,1155.0,1179B,,,9.0,49.0,QUINCY CRES,5.0,41.0,2.0,32,17.0,62.0
QUEEN ST W,1181.0,1199,,,9.0,47.0,QUINELLA DR,15.0,35.0,2.0,40,1.0,34.0
QUEEN ST W,1205.0,1347,,,4.0,65.0,RAAB BLVD,71.0,101.0,50.0,90,15.0,16.0
QUEEN ST W,,,1258,1528A,4.0,59.0,RABBIT LANE,1.0,95.0,40.0,102,2.0,44.0
QUEEN ST W,1349.0,1375,,,4.0,63.0,RABTON CRT,9.0,25.0,10.0,28,7.0,55.0
QUEEN ST W,1381.0,1487,,,4.0,60.0,RACHAEL ST,,,6.0,28,11.0,30.0
QUEEN ST W,1495.0,1501,,,4.0,57.0,RACINE RD,5.0,79.0,2.0,66,1.0,37.0
QUEEN ST W,1515.0,1647,,,4.0,60.0,RACK HOUSE MEWS,,,6.0,18,10.0,93.0
QUEEN ST W,,,1530,1736,4.0,57.0,RADFORD AVE,7.0,55.0,10.0,56,4.0,17.0
QUEEN VICTORIA ST,1.0,43,,,14.0,38.0,RADISSON ST,3.0,17.0,4.0,16,21.0,62.0
QUEEN VICTORIA ST,,,4,56,14.0,29.0,RADLETT AVE,33.0,47.0,34.0,48,3.0,85.0
QUEEN'S DR,1.0,259,4,264,5.0,15.0,RADNOR AVE,1.0,21.0,,,21.0,34.0
QUEEN'S DR,265.0,265,,,5.0,27.0,RADNOR AVE,,,4.0,12,21.0,33.0
QUEEN'S DR,,,282X,296X,5.0,11.0,RADWAY AVE,5.0,27.0,4.0,22,2.0,79.0
QUEEN'S DR,,,298,300,5.0,12.0,RADWELL CRES,,,2.0,98,23.0,2.0
QUEEN'S DR,303.0,303,,,5.0,13.0,RADWELL CRES,3.0,37.0,,,23.0,3.0
QUEEN'S DR,333.0,567,,,5.0,10.0,RADWELL CRES,39.0,99.0,,,23.0,2.0
QUEEN'S DR,,,350,568,5.0,11.0,RADWINTER DR,1.0,65.0,2.0,56,1.0,21.0
QUEEN'S DR,573.0,611,574,610,5.0,9.0,RAEBURN AVE,7.0,55.0,10.0,54,6.0,34.0
QUEEN'S PARK,1.0,75A,,,11.0,51.0,RAFFEIX LANE,,,14.0,70,13.0,66.0
QUEEN'S PARK,,,78,100,11.0,53.0,RAGLAN AVE,1.0,35.0,,,12.0,48.0
QUEEN'S PARK,95.0,125,,,11.0,52.0,RAGLAN AVE,,,10.0,130,12.0,50.0
QUEEN'S PARK CRES E,7.0,73,,,11.0,51.0,RAGLAN AVE,39.0,223.0,,,12.0,49.0
QUEEN'S PARK CRES W,,,6,20,11.0,53.0,RAGLAN AVE,,,146.0,146,12.0,52.0
QUEEN'S PLATE DR,25.0,375,40,340,1.0,35.0,RAILSIDE RD,15.0,135.0,10.0,190,16.0,19.0
QUEEN'S PLATE DR,,,600,930,1.0,34.0,RAINBOW CREEKWAY,1.0,43.0,,,17.0,19.0
STREET NAME                   ODD               EVEN             WD SUB        STREET NAME                   ODD               EVEN             WD SUB,,,,,,,,,,,,,
RAINBOW RIDGE AVE,21.0,73,20,74.0,25.0,25.0,RATHBURN RD,,,490,510,2.0,48.0
RAINHAM PL,7.0,15,,,16.0,24.0,RATHBURN RD,,,580,590,2.0,49.0
RAINIER SQ,1.0,109,4,108.0,22.0,40.0,RATHBURN RD,615.0,629.0,,,2.0,52.0
RAINS AVE,1.0,39,2,40.0,12.0,73.0,RATHGAR AVE,1.0,33.0,4,34,2.0,72.0
RAINSFORD RD,1.0,39R,2,40.0,19.0,56.0,RATHLYN CRT,3.0,15.0,4,14,1.0,7.0
RAINSFORD RD,43.0,129,42,124.0,19.0,53.0,RATHMORE AVE,3.0,17.0,4,16,20.0,64.0
RAINSWOOD CRT,3.0,41,6,44.0,6.0,44.0,RATHNELLY AVE,1.0,47.0,2,76,12.0,69.0
RAINTHORPE CRES,1.0,45,2,48.0,22.0,37.0,RAVEL RD,11.0,191.0,100,100,17.0,25.0
RAINTREE PATH,1.0,27,2,28.0,2.0,52.0,RAVEN RD,1.0,95.0,6,94,5.0,4.0
RAITHERM RD,9.0,23,12,18.0,8.0,20.0,RAVENAL ST,1.0,41.0,2,46,5.0,60.0
RAJAH ST,7.0,11,,,8.0,30.0,RAVENBURY RD,83.0,87.0,84,88,17.0,43.0
RAJAH ST,117.0,121,86,112.0,8.0,10.0,RAVENCLIFF CRES,1.0,61.0,4,58,22.0,46.0
RAKELY CRT,25.0,35,40,40.0,2.0,49.0,RAVENHILL RD,3.0,19.0,4,18,8.0,1.0
RAKEWOOD CRES,1.0,103,2,104.0,22.0,28.0,RAVENROCK CRT,1.0,29.0,2,28,16.0,11.0
RALEIGH AVE,5.0,285,50,300.0,20.0,42.0,RAVENSBOURNE CRES,3.0,15.0,2,14,2.0,32.0
RALPH ST,1.0,1,,,5.0,23.0,RAVENSBOURNE CRES,23.0,89.0,20,70,2.0,33.0
RALSTON AVE,1.0,11,2,18.0,19.0,18.0,RAVENSBOURNE CRES,93.0,107.0,76,90,2.0,32.0
RAMAGE LANE,15.0,85,2,106.0,2.0,29.0,RAVENSCREST DR,1.0,79.0,2,130,2.0,43.0
RAMBERT CRES,1.0,15,2,44.0,4.0,40.0,RAVENSCREST DR,83.0,101.0,,,2.0,31.0
RAMBLER PL,9.0,25,10,24.0,6.0,50.0,RAVENSCROFT CRCL,9.0,59.0,2,70,17.0,20.0
RAMBLEWOOD DR,1.0,53,2,56.0,25.0,38.0,RAVENVIEW DR,1.0,59.0,14,54,25.0,48.0
RAMEAU DR,1.0,113,2,116.0,17.0,25.0,RAVENWOOD PL,1.0,7.0,2,8,19.0,10.0
RAMPART RD,,,2,10.0,1.0,21.0,RAVINA CRES,1.0,95.0,2,72,14.0,29.0
RAMSBURY RD,1.0,9,2,14.0,3.0,33.0,RAVINE DR,1.0,9.0,2,6,20.0,26.0
RAMSDEN RD,1.0,5,2,24.0,8.0,48.0,RAVINE PARK CRES,1.0,81.0,22,86,25.0,30.0
RAMSGATE RD,1.0,15,2,14.0,3.0,75.0,RAWLINGS AVE,15.0,23.0,,,13.0,29.0
RANCHDALE CRES,1.0,75,4,76.0,16.0,13.0,RAWLINSON AVE,47.0,87.0,,,15.0,29.0
RANDALL CRES,1.0,277,2,274.0,20.0,29.0,RAY AVE,1.0,35.0,2,16,5.0,45.0
RANDANE DR,3.0,17,2,16.0,21.0,1.0,RAY AVE,55.0,55.0,66,66,5.0,28.0
RANDOLPH AVE,11.0,21,2,22.0,9.0,34.0,RAYMOND AVE,3.0,89.0,2,86,4.0,4.0
RANDOLPH RD,1.0,125,2,126.0,15.0,52.0,RAYMORE DR,,,2,20,2.0,8.0
RANDOLPH RD,127.0,211,128,226.0,15.0,50.0,RAYMORE DR,3.0,95.0,,,2.0,10.0
RANDOM ST,1.0,11,2,12.0,2.0,43.0,RAYNES CRES,3.0,51.0,2A,38,23.0,6.0
RANEE AVE,,,8X,194.0,8.0,13.0,RAYOAK DR,37.0,55.0,14,14,16.0,11.0
RANEE AVE,11.0,69,,,8.0,30.0,RAYSIDE DR,17.0,85.0,4,92,2.0,79.0
RANEE AVE,81.0,227X,,,8.0,14.0,RAYWARD CRT,11.0,37.0,12,20,23.0,41.0
RANEE AVE,249.0,359,256,360.0,8.0,15.0,READING CRT,17.0,55.0,40,40,1.0,35.0
RANGELEY DR,1.0,57,4,60.0,25.0,12.0,REAN DR,1.0,3.0,2,8,17.0,76.0
RANGEMORE RD,19.0,29,8,20.0,3.0,82.0,REAN DR,7.0,15.0,,,17.0,73.0
RANGOON RD,3.0,155,2,132.0,2.0,29.0,REAN DR,,,12,12,17.0,75.0
RANKIN CRES,7.0,225,100,212.0,9.0,34.0,REAN DR,,,18,28,17.0,73.0
RANLEIGH AVE,15.0,251,2,256.0,15.0,18.0,REAN DR,19.0,19.0,,,17.0,74.0
RANNOCK ST,1.0,5,4,8.0,21.0,56.0,REAN DR,23.0,27.0,,,17.0,73.0
RANSTONE GDNS,1.0,57,12,84.0,21.0,51.0,REBECCA ST,1.0,19.0,,,10.0,2.0
RANSTONE GDNS,63.0,111,86,116.0,21.0,50.0,REBECCA ST,,,2,2,10.0,1.0
RANWOOD DR,1.0,49,8,48.0,5.0,3.0,RECTORY RD,1.0,35.0,8,34,5.0,17.0
RAPONI CRCL,27.0,197,50,196.0,23.0,16.0,RED CEDARWAY,1.0,96.0,2,96,7.0,6.0
RAPPERT AVE,,,8,16.0,15.0,29.0,RED DEER AVE,1.0,61.0,2,74,20.0,62.0
RAQUEL CRT,1.0,3,2,4.0,5.0,58.0,RED FOX PL,1.0,63.0,6,64R,25.0,18.0
RASPBERRY RD,1.0,25,2,22.0,25.0,26.0,RED HAWK RD,5.0,61.0,2,76,25.0,8.0
RATHBURN RD,25.0,119,32,120.0,2.0,42.0,RED MAPLE CRT,1.0,25.0,2,46,17.0,70.0
RATHBURN RD,125.0,199,122,170.0,2.0,43.0,RED OAKS CRES,3.0,9.0,2,10,15.0,54.0
RATHBURN RD,,,190,400.0,2.0,44.0,RED RIVER CRES,1.0,125.0,2,118,25.0,21.0
RATHBURN RD,235.0,397,,,2.0,62.0,RED ROBINWAY,1.0,111.0,80,132,6.0,13.0
RATHBURN RD,,,440,450.0,2.0,47.0,REDBANK RD,,,2,24,5.0,31.0
RATHBURN RD,445.0,575,,,2.0,51.0,REDBERRY PKWY,7.0,43.0,2,44,5.0,9.0
