StreetA,OddA1,OddA2,EvA1,EvA2,WardA,SubwardA,StreetB,OddbB,OddB2,EvB1,EvB2,WardB,SubwardB
MOORE PARK AVE,259.0,345,260,346,18.0,5.0,MORTIMER AVE,261.0,327,262.0,310,14.0,9.0
MOORECROFT CRES,1.0,61,2,64,21.0,50.0,MORTIMER AVE,363.0,383,334.0,406,14.0,8.0
MOOREFIELD DR,1.0,57,2,60,25.0,31.0,MORTIMER AVE,385.0,555,,,14.0,7.0
MOOREGATE AVE,7.0,67,4,78X,21.0,50.0,MORTIMER AVE,,,408.0,486,14.0,6.0
STREET NAME                   ODD               EVEN             WD SUB        STREET NAME                   ODD               EVEN             WD SUB,,,,,,,,,,,,,
PARSBOROUGH CRT,3.0,27.0,4,28.0,25.0,26.0,PEARD RD,11.0,81.0,16.0,84.0,19.0,8.0
PARSELL SQ,1.0,141.0,4,140.0,25.0,17.0,PEAREN ST,9.0,31.0,30.0,30.0,5.0,45.0
PARSON CRT,1.0,27.0,2,22.0,5.0,35.0,PEARL ST,151.0,173.0,118.0,188.0,10.0,27.0
PARSONAGE DR,1.0,39.0,2,42.0,25.0,8.0,PEARLDALE AVE,39.0,69.0,50.0,60.0,7.0,4.0
PARTRIDGE LANE,1.0,19.0,2,18.0,22.0,40.0,PEARS AVE,33.0,111.0,94.0,94.0,11.0,20.0
PASADENA GDNS,1.0,59.0,,,4.0,2.0,PEARS AVE,127.0,175.0,122.0,160.0,11.0,16.0
PASADENA GDNS,,,2,2.0,4.0,4.0,PEARSON AVE,5.0,53.0,2.0,62.0,4.0,58.0
PASADENA GDNS,,,6,64.0,4.0,2.0,PEARSON AVE,67.0,189.0,76.0,190.0,4.0,54.0
PASHLER AVE,61.0,73.0,70,70.0,13.0,63.0,PEARSON AVE,197.0,235.0,204.0,236.0,4.0,55.0
PASSMORE AVE,,,14,102.0,22.0,4.0,PEARWOOD CRES,1.0,27.0,2.0,26.0,15.0,13.0
PASSMORE AVE,15.0,95.0,,,22.0,12.0,PEBBLE BYWAY,15.0,25.0,,,17.0,11.0
PASSMORE AVE,335.0,501.0,290X,568.0,23.0,15.0,PEBBLE VALLEY LANE,3.0,37.0,4.0,36.0,2.0,52.0
PASSMORE AVE,755.0,873.0,620,900.0,23.0,16.0,PEBBLEHILL SQ,3.0,99.0,2.0,92.0,23.0,26.0
PASSMORE AVE,,,2354,2400.0,25.0,10.0,PEBBLEWOOD AVE,3.0,29.0,2.0,36.0,23.0,15.0
PASSY CRES,,,2,18.0,7.0,13.0,PECAN CRT,1.0,41.0,30.0,40.0,6.0,51.0
PASTRANO CRT,,,2,22.0,20.0,29.0,PECKHAM AVE,71.0,117.0,88.0,104.0,18.0,5.0
PAT BROOKS TER,3.0,21.0,2,22.0,21.0,33.0,PEDIGREE MEWS,17.0,33.0,12.0,22.0,1.0,34.0
PATH HILL PL,,,4,48.0,23.0,18.0,PEEBLES AVE,3.0,11.0,2.0,10.0,15.0,15.0
PATIKA AVE,1.0,53.0,2,54.0,5.0,23.0,PEEL AVE,1.0,3.0,6.0,18.0,9.0,47.0
PATINA DR,29.0,63.0,26,62.0,17.0,5.0,PEEL AVE,7.0,15.0,,,9.0,48.0
PATON RD,7.0,45.0,40,60.0,9.0,32.0,PEEL AVE,17.0,21.0,,,9.0,47.0
PATON RD,115.0,125.0,116,136.0,9.0,34.0,PEELAR MEWS,15.0,31.0,,,3.0,39.0
PATRIARCH,1.0,1.0,,,15.0,38.0,PEGASUS TRL,1.0,139.0,2.0,136.0,24.0,9.0
BARTHOLOMEW WAY,,,,,,,PEKING RD,1.0,39.0,4.0,38.0,24.0,46.0
PATRICIA AVE,15.0,263.0,14,228.0,18.0,9.0,PELHAM AVE,,,20.0,48.0,9.0,18.0
PATRICIA AVE,309.0,369.0,238,364.0,18.0,5.0,PELHAM AVE,,,52.0,114.0,9.0,17.0
